account_id,card_id
050aff81-5caa-4b68-2aeb-450d6a11c181,3253ad1c-3472-4bd3-aede-fe616417bbb4
050aff81-5caa-4b68-2aeb-450d6a11c181,5ff4702b-e7ca-4368-aec6-d4c9504d7e25
050aff81-5caa-4b68-2aeb-450d6a11c181,986dc5c2-bf58-48a5-bd44-9297f57859c1
050aff81-5caa-4b68-2aeb-450d6a11c181,a068a65d-e87a-42af-841d-db20efa9d42f
16c4d849-dd0f-4a62-c2bc-05a1300e10c1,104af9e4-a4fc-45ac-8c5a-1953a07674ef
16c4d849-dd0f-4a62-c2bc-05a1300e10c1,259ac6b7-53e3-4fd2-a09d-292bb1cbdcc3
16c4d849-dd0f-4a62-c2bc-05a1300e10c1,83e112cb-bb42-4e66-8e96-b65529555496
16c4d849-dd0f-4a62-c2bc-05a1300e10c1,bb8c3df1-feff-48fe-87db-bae8701d7bb9
2308ae4a-ca37-435e-2809-fb02add0134b,257e1334-b780-4e30-847e-4c590563fa29
2308ae4a-ca37-435e-2809-fb02add0134b,5806c485-3446-4c00-aa75-26c3de014a5e
2308ae4a-ca37-435e-2809-fb02add0134b,a2f20cb7-7f2c-4feb-85b5-515f3d840656
2308ae4a-ca37-435e-2809-fb02add0134b,b1283819-4e8d-4416-bfdf-78ab1c55b489
307a21ee-87d0-4ef9-db0b-d629f1ecc4a0,1440a571-1500-4088-83bf-d04ff3b978ef
307a21ee-87d0-4ef9-db0b-d629f1ecc4a0,534a397d-ae45-4a14-a8a0-24ef1b350ce6
307a21ee-87d0-4ef9-db0b-d629f1ecc4a0,80cdd5af-eb78-4c0c-abd4-6026f68ec2b9
307a21ee-87d0-4ef9-db0b-d629f1ecc4a0,ff931729-fb0e-4d18-80d6-6c5337a70d3a
307c0edc-a4b9-419f-032b-3ea240789711,25aad595-d909-421b-b6ac-01c4c9da2451
307c0edc-a4b9-419f-032b-3ea240789711,338edbea-886a-4fc4-8915-45e6ecafda8f
307c0edc-a4b9-419f-032b-3ea240789711,61dcda17-7774-45ef-9708-40a4ac267331
307c0edc-a4b9-419f-032b-3ea240789711,76bcf15f-590a-466c-88b9-fbca81b4b3df
3f1edab7-485c-440b-ffa9-9c70fd475866,058f2a78-02d8-4dfb-80d6-78eb175f676f
3f1edab7-485c-440b-ffa9-9c70fd475866,a9c7d4ab-f7ef-4b03-b86a-109748b54b8e
3f1edab7-485c-440b-ffa9-9c70fd475866,ab70d2ec-1c90-49eb-85df-0e1520d3a94e
3f1edab7-485c-440b-ffa9-9c70fd475866,af2ea49d-0005-4588-8dc1-af2271dabda0
42a7df11-f509-4fcb-97ef-b179d20c5ada,06b26ddb-9585-4527-bc07-be34b2e05e23
42a7df11-f509-4fcb-97ef-b179d20c5ada,312c69c2-43bd-48cf-b124-875a0d3ea567
42a7df11-f509-4fcb-97ef-b179d20c5ada,cc809c28-78ab-4ecd-8886-3a2650890376
42a7df11-f509-4fcb-97ef-b179d20c5ada,e4749705-c9c9-4b5e-81bb-e9ebdc32492b
47b5ba48-96d7-491c-d196-0104e0249701,3d81a080-b274-4106-a414-31af8343fcfb
47b5ba48-96d7-491c-d196-0104e0249701,6ffd8aef-959f-4d15-96fe-1c237fccc56e
47b5ba48-96d7-491c-d196-0104e0249701,92ab4703-aa92-4d21-9f4c-6d3b5a78f8e9
47b5ba48-96d7-491c-d196-0104e0249701,abdbf9c3-8ce5-404d-a31a-0cc22ff00d17
83f6097b-deed-45cd-111f-b1b3db83346a,768c315f-fdae-4ce0-b7e7-230640c40a8a
83f6097b-deed-45cd-111f-b1b3db83346a,97c7f6b8-5985-4571-a86f-b8548760f8c0
83f6097b-deed-45cd-111f-b1b3db83346a,dc003c29-edeb-4913-b391-0f1124012aa7
83f6097b-deed-45cd-111f-b1b3db83346a,fb8c2589-9360-40b5-bba9-f189fee27d62
865e4c46-e3fb-45ba-b8e6-3193afe41084,19d03037-f2eb-4ffc-87c2-09884e1cf8b0
865e4c46-e3fb-45ba-b8e6-3193afe41084,4735ccf5-6950-4216-83d6-ef2176dca123
865e4c46-e3fb-45ba-b8e6-3193afe41084,cbac14d6-e007-4bc3-9d8b-cb202aa1da5e
865e4c46-e3fb-45ba-b8e6-3193afe41084,f3c5368d-2bf4-46aa-9ea7-df9b8ae4e0d3
a1caee96-2d0e-4d8b-56d8-4142190da2e4,0f838b06-d219-457e-8d31-d1c302db1612
a1caee96-2d0e-4d8b-56d8-4142190da2e4,79acc7bc-3a6e-4828-82f3-6ecca4d126fc
a1caee96-2d0e-4d8b-56d8-4142190da2e4,c37e7054-d25e-4b34-b66b-e53d37e20ab7
a1caee96-2d0e-4d8b-56d8-4142190da2e4,c8f67b74-4645-480f-b4e5-f164548631a7
a1f713fd-99d5-4428-26ad-f695bc8b0bcc,8b127d99-2b76-4eae-a11f-585ce7aec104
a1f713fd-99d5-4428-26ad-f695bc8b0bcc,c6675208-992b-4ec9-b5f2-ac8ecdc7eb0d
a1f713fd-99d5-4428-26ad-f695bc8b0bcc,e6e71dd4-d509-404a-b01f-9697f59d3ccd
a1f713fd-99d5-4428-26ad-f695bc8b0bcc,fc8377ac-b015-42f3-a58c-78775916d518
b4977213-a012-4298-ba24-2e77387798e0,0e51707d-4282-4a33-bbc2-b8d029a3a4ed
b4977213-a012-4298-ba24-2e77387798e0,41598cfc-c926-4b26-a835-22853332122b
b4977213-a012-4298-ba24-2e77387798e0,4630510d-fcfd-4e7f-8119-85e9d8565c7b
b4977213-a012-4298-ba24-2e77387798e0,635da52d-6dab-40d7-b4d9-425409c3d1ec
c0586760-4153-4143-1a67-545c1359b64d,2d6ba493-8dae-4531-b1d7-65d6bfe01f2a
c0586760-4153-4143-1a67-545c1359b64d,3578c34a-3ad0-40bd-852a-0004b37d5a98
c0586760-4153-4143-1a67-545c1359b64d,57a35268-202a-460b-b3cd-e61b1f7c069c
c0586760-4153-4143-1a67-545c1359b64d,9d1dd751-a8d0-4bc8-bde4-bd67db928f7c
ceda43c2-8198-4610-3d92-47e3bdbc92d3,57959e69-0b9b-4f93-86c9-8b212392d354
ceda43c2-8198-4610-3d92-47e3bdbc92d3,ba30f3c0-a469-4bb9-99e9-fc1501d3b176
ceda43c2-8198-4610-3d92-47e3bdbc92d3,fb30d29b-30ab-42ff-849f-bc4f07aa540c
ceda43c2-8198-4610-3d92-47e3bdbc92d3,ff7504c4-b5f3-4c0c-927d-6572d13c0579
d0d61982-e546-4572-1f4c-6e4b23b339ee,0250a55d-deb0-47ee-8559-a4504b7cbca8
d0d61982-e546-4572-1f4c-6e4b23b339ee,06fc7c6c-3954-4570-9dad-721777b67d42
d0d61982-e546-4572-1f4c-6e4b23b339ee,181417b3-aa2a-4398-b86d-574d747c288f
d0d61982-e546-4572-1f4c-6e4b23b339ee,f3c70347-c991-4839-abc9-e88f6335d3a6
dfe86444-7d6e-4b68-bf4d-0855e10f34ea,501c4d2c-1ecd-4102-843c-ca587c137025
dfe86444-7d6e-4b68-bf4d-0855e10f34ea,5637e2a6-f20e-4b9c-8060-f1d50233f3f9
dfe86444-7d6e-4b68-bf4d-0855e10f34ea,a5caa4fd-ff63-44fc-b8b2-3d7eff74bed1
dfe86444-7d6e-4b68-bf4d-0855e10f34ea,eaec756c-6138-4d2f-ba7b-e7a96707aaf7
e98cc38a-991b-401a-282f-2b7ec2777930,064fb9a7-7290-46b2-b166-23ca3b0b95e3
